id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob,interaction
51720,PAK-1990-2-X3576-6,1990,True,Clear,2,11231,10621,Mohajir - Sindhi,11231,11231,Mohajir - Sindhi,2848,2848,Mohajir,2849,2849,Sindhi,-1,Reuters 27/3 1990,-,-,-,Police,1,Hyderabad town,Hyderabad,Sindh province,Hyderabad district,25.379167,68.368333,POINT (68.368333 25.379167),166097,Pakistan,770,Asia,1,1,03/27/1990 00:00:00,03/27/1990 00:00:00,0,0,0,1,1,1,1,-,-,33
51721,PAK-1990-2-X3576-25,1990,True,Clear,2,11231,10621,Mohajir - Sindhi,11231,11231,Mohajir - Sindhi,2848,2848,Mohajir,2849,2849,Sindhi,-1,Reuters 20/5 1990,-,-,-,Doctors,1,Hyderabad town,Hyderabad,Sindh province,Hyderabad district,25.379167,68.368333,POINT (68.368333 25.379167),166097,Pakistan,770,Asia,2,1,05/20/1990 00:00:00,05/20/1990 00:00:00,0,0,0,8,8,8,8,-,-,33
51723,PAK-1990-2-X3576-7,1990,True,Clear,2,11231,10621,Mohajir - Sindhi,11231,11231,Mohajir - Sindhi,2848,2848,Mohajir,2849,2849,Sindhi,-1,Reuters 28/3 1990,-,-,-,Police,1,Hyderabad town,Hyderabad,Sindh province,Hyderabad district,25.379167,68.368333,POINT (68.368333 25.379167),166097,Pakistan,770,Asia,1,1,03/28/1990 00:00:00,03/28/1990 00:00:00,0,0,0,2,2,2,2,-,-,33
51727,PAK-1990-2-X3576-27,1990,True,Clear,2,11231,10621,Mohajir - Sindhi,11231,11231,Mohajir - Sindhi,2848,2848,Mohajir,2849,2849,Sindhi,-1,Reuters 22/5 1990,-,-,-,Doctors,1,Karachi town,Karachi,Sindh province,Karachi district,24.86,67.01,POINT (67.01 24.86),165375,Pakistan,770,Asia,1,1,05/22/1990 00:00:00,05/22/1990 00:00:00,0,0,0,5,5,5,5,-,-,33
51733,PAK-1990-2-X3576-28,1990,True,Clear,2,11231,10621,Mohajir - Sindhi,11231,11231,Mohajir - Sindhi,2848,2848,Mohajir,2849,2849,Sindhi,-1,Reuters 23/5 1990,-,-,-,Government statement,1,Hyderabad town,Hyderabad,Sindh province,Hyderabad district,25.379167,68.368333,POINT (68.368333 25.379167),166097,Pakistan,770,Asia,1,1,05/23/1990 00:00:00,05/23/1990 00:00:00,0,0,0,6,6,6,6,-,-,33
51734,PAK-1990-2-X3576-29,1990,True,Clear,2,11231,10621,Mohajir - Sindhi,11231,11231,Mohajir - Sindhi,2848,2848,Mohajir,2849,2849,Sindhi,-1,Reuters 23/5 1990,-,-,-,Government statement,1,Hyderabad town,Tando Jam,Sindh province,Hyderabad district,25.379167,68.368333,POINT (68.368333 25.379167),166097,Pakistan,770,Asia,1,1,05/23/1990 00:00:00,05/23/1990 00:00:00,0,0,0,1,1,1,1,-,-,33
51736,PAK-1991-1-345-5,1991,True,Clear,1,218,218,India - Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,Reuters 15/1 1991,-,-,-,Military statement,1,Athmuqam town,Athmuqam,Azad Jammu & Kashmir,Neelam district,34.57173,73.89724,POINT (73.89724 34.57173),179788,Pakistan,770,Asia,1,1,01/15/1991 00:00:00,01/15/1991 00:00:00,0,0,2,0,2,2,2,750.0,770.0,44
51741,PAK-1990-2-X3576-10,1990,True,Clear,2,11231,10621,Mohajir - Sindhi,11231,11231,Mohajir - Sindhi,2848,2848,Mohajir,2849,2849,Sindhi,-1,Reuters 17/4 1990,-,-,-,Police,1,Hyderabad town,Hyderabad,Sindh province,Hyderabad district,25.379167,68.368333,POINT (68.368333 25.379167),166097,Pakistan,770,Asia,1,1,04/17/1990 00:00:00,04/17/1990 00:00:00,0,0,0,2,2,2,2,-,-,33
51742,PAK-1990-2-X3576-30,1990,True,Clear,2,11231,10621,Mohajir - Sindhi,11231,11231,Mohajir - Sindhi,2848,2848,Mohajir,2849,2849,Sindhi,-1,Reuters 26/5 1990,-,-,-,Doctors,1,Hyderabad town,Hyderabad,Sindh province,Hyderabad district,25.379167,68.368333,POINT (68.368333 25.379167),166097,Pakistan,770,Asia,1,1,05/26/1990 00:00:00,05/26/1990 00:00:00,0,0,0,9,9,9,9,-,-,33
52213,PAK-1991-2-269-2,1991,False,Clear,2,5415,4805,MQM - MQM-H,5415,5415,MQM - MQM-H,354,354,MQM,832,832,MQM-H,-1,Reuters 19/6 1991,-,-,-,"Doctors, police",1,Karachi town,"Landhi area, Karachi",Sindh province,Karachi district,24.86,67.01,POINT (67.01 24.86),165375,Pakistan,770,Asia,1,1,06/19/1991 00:00:00,06/19/1991 00:00:00,0,0,0,12,12,12,12,-,-,11
